01102 Northern California 1-3
01182 Southern California 4-5
01212 Hawaii/Guam 6
01312 Nevada 7
02102 Alaska 8
02202 Idaho 9
02302 Oregon 10
02402 Washington 11
03102 Arizona 12
03202 Montana 13
03302 North Dakota 14
03402 South Dakota 15
03502 Utah 16
03602 Wyoming 17
04112 Colorado 18
04212 New Mexico 19
04312 Oklahoma 20
04412 Texas 21-24
05102 Iowa 25
05202 Kansas 26
05302 Missouri 27-28
05402 Nebraska 29
06102 Illinois 30-31
06202 Minnesota 32
06302 Wisconsin 33
07102 Arkansas 34
07202 Louisiana 35
07302 Mississippi 36
08102 Indiana 37
08202 Michigan 38
09102 Florida 39-40
09202 Puerto Rico/Virgin Islands 41
10102 Alabama 42
10202 Georgia 43
10302 Tennessee 44
11202 South Carolina 45
11302 Virginia 46
11402 West Virginia 47
11502 North Carolina 48
12102 Delaware 49
12202 District of Columbia 50
12302 Maryland 51
12402 New Jersey 52
12502 Pennsylvania 53
13102 Connecticut 54
13202 Empire New York 55-56
13282 Western New York 57
13292 GHI/New York 58
14112 Maine 59
14212 Massachusetts 60
14312 New Hampshire 61
14412 Rhode Island 62
14512 Vermont 63
15102 Kentucky 64
15202 Ohio 65
